action_id,week_date,block,action_detail,pic,due_date,status,priority
A0106,2025-12-13,Utara,Tutup temuan housekeeping area aktif,HSE,2025-12-21,Progress,Medium
A0107,2025-12-13,Utara,Regrade jalan hauling prioritas,Dispatcher,2025-12-19,Closed,High
A0108,2025-12-13,Utara,Follow up expose area coal minggu berikutnya,Mine Ops,2025-12-22,Closed,High
A0109,2025-12-20,Utara,Tutup temuan housekeeping area aktif,HSE,2025-12-25,Open,High
A0110,2025-12-20,Utara,Percepat perbaikan unit support kritikal,Maintenance,2025-12-25,Closed,High
A0111,2025-12-20,Utara,Optimalkan produktivitas kerja pasca hujan,Mine Ops,2025-12-29,Progress,Medium
A0112,2025-12-27,Utara,Optimalkan produktivitas kerja pasca hujan,Mine Ops,2026-01-09,Closed,Medium
A0113,2025-12-27,Utara,Tutup temuan housekeeping area aktif,HSE,2026-01-05,Open,High
A0114,2025-12-27,Utara,Percepat perbaikan unit support kritikal,Maintenance,2026-01-09,Progress,High
A0115,2026-01-03,Utara,Percepat perbaikan unit support kritikal,Maintenance,2026-01-15,Progress,High
A0116,2026-01-03,Utara,Tutup temuan housekeeping area aktif,HSE,2026-01-12,Open,Medium
A0117,2026-01-03,Utara,Regrade jalan hauling prioritas,Dispatcher,2026-01-10,Open,High
A0118,2026-01-10,Utara,Optimalkan produktivitas kerja pasca hujan,Mine Ops,2026-01-23,Progress,Low
A0119,2026-01-10,Utara,Tutup temuan housekeeping area aktif,HSE,2026-01-23,Progress,Medium
A0120,2026-01-10,Utara,Percepat perbaikan unit support kritikal,Maintenance,2026-01-16,Progress,Low
A0121,2026-01-17,Utara,Follow up expose area coal minggu berikutnya,Mine Ops,2026-01-23,Open,Medium
A0122,2026-01-17,Utara,Regrade jalan hauling prioritas,Dispatcher,2026-01-31,Progress,Medium
A0123,2026-01-17,Utara,Tutup temuan housekeeping area aktif,HSE,2026-01-24,Progress,Medium
A0124,2026-01-24,Utara,Review pumping capacity dan standby pump,Engineering,2026-01-29,Progress,Medium
A0125,2026-01-24,Utara,Regrade jalan hauling prioritas,Dispatcher,2026-02-04,Progress,Medium
A0126,2026-01-24,Utara,Percepat perbaikan unit support kritikal,Maintenance,2026-01-31,Closed,Medium
A0127,2026-01-31,Utara,Percepat perbaikan unit support kritikal,Maintenance,2026-02-10,Open,Medium
A0128,2026-01-31,Utara,Follow up expose area coal minggu berikutnya,Mine Ops,2026-02-11,Open,High
A0129,2026-01-31,Utara,Optimalkan produktivitas kerja pasca hujan,Mine Ops,2026-02-11,Open,Low
A0130,2026-02-07,Utara,Tutup temuan housekeeping area aktif,HSE,2026-02-20,Progress,Medium
A0131,2026-02-07,Utara,Follow up expose area coal minggu berikutnya,Mine Ops,2026-02-20,Open,High
A0132,2026-02-07,Utara,Regrade jalan hauling prioritas,Dispatcher,2026-02-21,Progress,High
A0133,2026-02-14,Utara,Optimalkan produktivitas kerja pasca hujan,Mine Ops,2026-02-19,Open,Medium
A0134,2026-02-14,Utara,Regrade jalan hauling prioritas,Dispatcher,2026-02-24,Open,Low
A0135,2026-02-14,Utara,Percepat perbaikan unit support kritikal,Maintenance,2026-02-20,Open,High
A0136,2026-02-21,Utara,Regrade jalan hauling prioritas,Dispatcher,2026-02-28,Progress,High
A0137,2026-02-21,Utara,Optimalkan produktivitas kerja pasca hujan,Mine Ops,2026-03-06,Closed,High
A0138,2026-02-21,Utara,Follow up expose area coal minggu berikutnya,Mine Ops,2026-03-06,Open,High
A0139,2026-02-28,Utara,Regrade jalan hauling prioritas,Dispatcher,2026-03-13,Closed,Medium
A0140,2026-02-28,Utara,Review pumping capacity dan standby pump,Engineering,2026-03-11,Closed,High
A0141,2026-02-28,Utara,Percepat perbaikan unit support kritikal,Maintenance,2026-03-10,Progress,High
A0142,2026-03-07,Utara,Percepat perbaikan unit support kritikal,Maintenance,2026-03-20,Open,Low
A0143,2026-03-07,Utara,Optimalkan produktivitas kerja pasca hujan,Mine Ops,2026-03-15,Progress,Low
A0144,2026-03-07,Utara,Follow up expose area coal minggu berikutnya,Mine Ops,2026-03-16,Progress,High
A0145,2026-03-14,Utara,Tutup temuan housekeeping area aktif,HSE,2026-03-22,Open,High
A0146,2026-03-14,Utara,Review pumping capacity dan standby pump,Engineering,2026-03-26,Progress,High
A0147,2026-03-14,Utara,Regrade jalan hauling prioritas,Dispatcher,2026-03-27,Progress,Medium
A0148,2026-03-21,Utara,Regrade jalan hauling prioritas,Dispatcher,2026-04-04,Progress,High
A0149,2026-03-21,Utara,Follow up expose area coal minggu berikutnya,Mine Ops,2026-03-28,Progress,Medium
A0150,2026-03-21,Utara,Review pumping capacity dan standby pump,Engineering,2026-03-30,Progress,Medium
A0151,2026-03-28,Utara,Tutup temuan housekeeping area aktif,HSE,2026-04-05,Open,High
A0152,2026-03-28,Utara,Percepat perbaikan unit support kritikal,Maintenance,2026-04-07,Progress,High
A0153,2026-03-28,Utara,Follow up expose area coal minggu berikutnya,Mine Ops,2026-04-09,Progress,Medium
A0154,2026-04-04,Utara,Review pumping capacity dan standby pump,Engineering,2026-04-18,Progress,Medium
A0155,2026-04-04,Utara,Percepat perbaikan unit support kritikal,Maintenance,2026-04-18,Closed,High
A0156,2026-04-04,Utara,Regrade jalan hauling prioritas,Dispatcher,2026-04-09,Closed,Medium
